PERIOD,YEAR,STATS_VALUE
May,2007,12
June,2007,81.4
July,2007,167.8
August,2007,96.6
September,2007,60.8
October,2007,75.8
November,2007,44.4
December,2007,65.2
January,2008,15
February,2008,45.4
March,2008,31
April,2008,102.2
May,2008,113.6
June,2008,158.8
July,2008,215.2
August,2008,168.7
September,2008,38.6
October,2008,90.7
November,2008,46
December,2008,101.6
January,2009,31.6
February,2009,121.7
March,2009,35
April,2009,40.9
May,2009,152.2
June,2009,89.2
July,2009,113.2
August,2009,71.7
September,2009,81.2
October,2009,91
November,2009,22.2
December,2009,83
January,2010,44
February,2010,4.6
March,2010,7.6
April,2010,56
May,2010,162.8
June,2010,160.8
July,2010,87
August,2010,187.4
September,2010,112
October,2010,19.8
November,2010,22.3
December,2010,94.4
January,2011,184.1
February,2011,28.2
March,2011,139.6
April,2011,152.3
May,2011,150.4
June,2011,144.4
July,2011,103.8
August,2011,43.5
September,2011,86.2
October,2011,115.2
November,2011,50.2
December,2011,192.2
January,2012,56.2
February,2012,116.8
March,2012,145.2
April,2012,23.4
May,2012,82
June,2012,88
July,2012,141.2
August,2012,132.8
September,2012,107.6
October,2012,69.2
November,2012,31
December,2012,69.8
January,2013,9.2
February,2013,25.2
March,2013,39.8
April,2013,107.4
May,2013,238
June,2013,158.6
July,2013,46.4
August,2013,147.6
September,2013,135
October,2013,33.6
December,2013,115
January,2014,42
February,2014,11
March,2014,25.2
April,2014,107.8
May,2014,79.6
June,2014,182.6
July,2014,92.4
August,2014,139.6
September,2014,174.8
October,2014,91.2
November,2014,58.8
December,2014,64.6
January,2015,13.6
February,2015,38
March,2015,73.2
May,2015,123.4
June,2015,88.8
July,2015,190.4
August,2015,145.8
September,2015,107.2
October,2015,43.6
November,2015,81
December,2015,26.8
January,2016,128.2
February,2016,100
March,2016,26.8
April,2016,32.4
May,2016,153.2
June,2016,124.6
July,2016,130
August,2016,79.8
September,2016,175.2
October,2016,65
November,2016,80.8
December,2016,32.8
January,2017,34.6
February,2017,60.4
March,2017,260.8
April,2017,178
May,2017,107.8
June,2017,47.6
July,2017,178
August,2017,116.8
September,2017,98
October,2017,75.8
November,2017,23
December,2017,7.6
January,2018,65.6
February,2018,148.8
March,2018,56.4
April,2018,157
May,2018,97.4
June,2018,194.8
July,2018,124.2
August,2018,115
September,2018,46.4
October,2018,76.9
November,2018,98
December,2018,206
January,2019,31.6
February,2019,20.6
March,2019,53.2
April,2019,67.2
May,2019,63.4
June,2019,85.2
July,2019,146
August,2019,189.4
September,2019,126.4
October,2019,68.6
December,2019,51
January,2020,7.8
February,2020,14.4
March,2020,40.4
April,2020,32.6
May,2020,105.2
June,2020,161.2
July,2020,91.8
August,2020,121
September,2020,44
November,2020,105.8
December,2020,36.2
January,2021,40.6
February,2021,49.2
March,2021,49.2
April,2021,65.6
May,2021,67
June,2021,102.4
July,2021,87.6
August,2021,90.6
September,2021,112.2
October,2021,104.8
November,2021,36.8
January,2022,8.8
February,2022,63.2
March,2022,121.4
April,2022,34
June,2022,147
July,2022,257.2
August,2022,156.4
September,2022,114
October,2022,106.6
November,2022,165.4
December,2022,107
January,2023,419.6
February,2023,205.2
March,2023,47.6
April,2023,94
May,2023,270.8
June,2023,117
July,2023,98
