PERIOD,YEAR,STATS_VALUE
February,2017,24.6
March,2017,23
April,2017,21.2
May,2017,17.4
June,2017,15.7
July,2017,14.6
August,2017,16.4
September,2017,16.9
October,2017,18.1
November,2017,20.9
December,2017,24.9
January,2018,26.1
February,2018,24.3
March,2018,23.9
April,2018,20.7
May,2018,18.1
June,2018,15.1
July,2018,15.3
August,2018,15.7
September,2018,16.6
October,2018,18.2
November,2018,20.2
December,2018,22.3
January,2019,24.4
February,2019,25.2
March,2019,24.5
April,2019,20
May,2019,18.8
June,2019,15.4
July,2019,15.8
August,2019,15.1
September,2019,16.7
October,2019,17.7
November,2019,20.9
December,2019,23
January,2020,23.7
February,2020,26
March,2020,23.3
April,2020,20.8
May,2020,17.9
June,2020,16.7
July,2020,15.3
August,2020,16
September,2020,17
October,2020,19.7
November,2020,21.1
December,2020,22.5
January,2021,24.7
February,2021,25.1
March,2021,23.6
April,2021,20.9
May,2021,18.1
June,2021,16.8
July,2021,15.4
August,2021,15.8
September,2021,16.9
October,2021,18.7
November,2021,22.1
December,2021,24.3
January,2022,26.2
February,2022,26.4
March,2022,24.8
April,2022,21.9
May,2022,19.3
June,2022,16.5
July,2022,16.1
August,2022,16.4
September,2022,17.4
October,2022,18.9
November,2022,21.4
December,2022,23.4
January,2023,23.5
February,2023,23.5
March,2023,22.3
April,2023,21.3
May,2023,18.7
June,2023,16.1
July,2023,15.2
August,2023,14.9
September,2023,17.6
October,2023,18.7
November,2023,20.2
December,2023,22.9
January,2024,25.7
February,2024,24.9
March,2024,21.7
April,2024,20.6
May,2024,17.1
June,2024,16.7
July,2024,15.3
August,2024,16.2
September,2024,17.1
October,2024,19.1
November,2024,20.4
December,2024,23.5
January,2025,23.9
February,2025,25.9
March,2025,24
April,2025,22.1
