PERIOD,YEAR,STATS_VALUE
July,2002,127.4
August,2002,357.6
September,2002,650.2
October,2002,487
November,2002,319.6
December,2002,328
January,2003,302.2
February,2003,241
March,2003,131.2
April,2003,115.9
May,2003,660.9
June,2003,600
July,2003,129
August,2003,192.2
November,2003,358.5
December,2003,394.2
January,2004,515.8
February,2004,506.7
March,2004,427.2
April,2004,107.5
May,2004,439.4
June,2004,487.9
July,2004,153.8
August,2004,643.8
September,2004,417.2
October,2004,215
November,2004,361.2
December,2004,345.4
January,2005,272.2
February,2005,340.7
March,2005,375.5
April,2005,114.4
May,2005,300.2
June,2005,344.3
July,2005,433.4
August,2005,301.3
September,2005,660.5
October,2005,254.3
November,2005,221.5
December,2005,352.5
January,2006,536.5
February,2006,219.3
March,2006,199.6
April,2006,520.6
May,2006,327.5
June,2006,327.5
July,2006,264.9
August,2006,242.4
September,2006,362.6
October,2006,418.7
November,2006,568.7
December,2006,309
January,2007,354.6
February,2007,65.9
March,2007,361.5
April,2007,109.4
May,2007,449.4
June,2007,405.8
July,2007,130.6
August,2007,207.8
September,2007,449.3
October,2007,462.8
November,2007,67.4
December,2007,744.7
January,2008,307.4
February,2008,304.7
March,2008,238.2
April,2008,258.7
May,2008,112.4
June,2008,351.7
July,2008,268
August,2008,193
September,2008,649.4
October,2008,346.4
November,2008,746.8
December,2008,491.6
January,2009,277.5
February,2009,399.7
March,2009,191.7
April,2009,799.7
May,2009,358.1
June,2009,129.9
July,2009,253.6
August,2009,774.7
September,2009,239.1
October,2009,207.6
November,2009,256.3
December,2009,606.1
January,2010,656.6
February,2010,209.5
March,2010,343.2
April,2010,511.2
May,2010,154.6
June,2010,228.4
July,2010,207.1
August,2010,387.9
September,2010,730.4
October,2010,248.6
November,2010,123.9
December,2010,835.7
January,2011,530
February,2011,493.3
March,2011,252.2
April,2011,191
May,2011,450
June,2011,127.9
July,2011,323.3
August,2011,158.5
September,2011,177.7
October,2011,379.8
November,2011,451.7
December,2011,323.1
January,2012,372.5
February,2012,373
March,2012,229
April,2012,189.3
May,2012,199.9
June,2012,227.6
July,2012,326.7
August,2012,191.6
September,2012,513.5
October,2012,702
November,2012,183.2
December,2012,348.7
January,2013,397.3
February,2013,108.4
March,2013,175
April,2013,228.5
May,2013,273.8
June,2013,288.7
July,2013,320.8
August,2013,281.8
September,2013,357.9
October,2013,635.6
November,2013,198.5
December,2013,383.2
January,2014,529
February,2014,208.2
March,2014,198.8
April,2014,392.2
May,2014,433.4
June,2014,593.1
July,2014,241.6
August,2014,231.9
September,2014,289.4
October,2014,330.1
November,2014,735.5
December,2014,421.2
January,2015,176.6
February,2015,255.6
March,2015,206.3
April,2015,483.5
May,2015,508.7
June,2015,641.4
July,2015,370.9
August,2015,341.3
September,2015,251.1
October,2015,517.1
November,2015,365.9
December,2015,426.9
January,2016,517.7
February,2016,372
March,2016,354.9
April,2016,301
May,2016,542.4
June,2016,527.2
July,2016,492.5
August,2016,175.8
September,2016,281.6
October,2016,333.1
November,2016,520.3
December,2016,723.9
January,2017,676.3
February,2017,204.5
March,2017,191.2
April,2017,285.9
May,2017,184.9
June,2017,302
July,2017,308.7
August,2017,383.8
September,2017,361.4
October,2017,208.4
November,2017,255.7
December,2017,234.7
January,2018,390
February,2018,354.9
March,2018,334.7
April,2018,371.5
May,2018,287.2
June,2018,249
July,2018,448.9
August,2018,239
September,2018,224.9
October,2018,277.4
November,2018,531.9
December,2018,235
January,2019,410.2
February,2019,321.8
March,2019,617.8
April,2019,300.3
May,2019,595.1
June,2019,101.3
July,2019,436
August,2019,332.2
September,2019,231
October,2019,500
November,2019,650.6
December,2019,676.1
January,2020,264.5
February,2020,468.3
March,2020,290.6
April,2020,397.3
May,2020,216.6
June,2020,213.2
July,2020,319.4
August,2020,366.8
September,2020,583.5
October,2020,668.8
November,2020,341
December,2020,352.6
