PERIOD,YEAR,STATS_VALUE
April,2004,37
May,2004,131.1
June,2004,184.3
July,2004,172.3
August,2004,98.3
September,2004,86.9
October,2004,146.1
November,2004,74.5
December,2004,152.6
January,2005,48.3
February,2005,67.5
March,2005,118.1
April,2005,26.8
May,2005,200
June,2005,89.4
July,2005,133
August,2005,99.4
September,2005,112.4
October,2005,257.2
November,2005,32.3
December,2005,204.8
January,2006,108.5
February,2006,161.2
March,2006,77.9
April,2006,182.8
May,2006,133.5
June,2006,91.9
July,2006,102.3
August,2006,151.5
September,2006,27.2
October,2006,77.4
November,2006,116.1
December,2006,103.2
January,2007,112.8
February,2007,7.7
March,2007,126.9
April,2007,64
May,2007,36.2
June,2007,107.1
July,2007,182
August,2007,123.7
September,2007,51.1
October,2007,94.2
November,2007,35.7
December,2007,76.9
January,2008,15.5
February,2008,16.4
March,2008,71.5
April,2008,192.7
May,2008,72.3
June,2008,135.9
July,2008,247.8
August,2008,213.9
September,2008,69.8
October,2008,133.2
November,2008,39.2
December,2008,110.4
January,2009,14.6
February,2009,138.5
March,2009,66.5
April,2009,32.1
May,2009,88.4
June,2009,126.1
July,2009,142.5
August,2009,154.6
September,2009,99.1
October,2009,140.4
November,2009,41.9
December,2009,50.8
January,2010,188.9
February,2010,38.5
March,2010,18.3
April,2010,95.2
May,2010,159.8
June,2010,171.9
July,2010,36.8
August,2010,257.1
September,2010,187.6
October,2010,26
November,2010,38.8
December,2010,92.1
January,2011,316.4
February,2011,8.5
March,2011,164.5
April,2011,124.6
May,2011,188.6
June,2011,116.1
July,2011,125.2
August,2011,39.4
September,2011,53.7
October,2011,116.3
November,2011,39.7
December,2011,188.9
January,2012,92.3
February,2012,74.7
March,2012,103.6
April,2012,70.5
May,2012,193.6
June,2012,74.6
July,2012,134.5
August,2012,142.8
September,2012,116.5
October,2012,92.6
November,2012,29.7
December,2012,92.6
January,2013,12.6
February,2013,10.1
March,2013,28.5
April,2013,95.3
May,2013,119.8
June,2013,161.8
July,2013,41.3
August,2013,141
September,2013,146.3
October,2013,68.6
November,2013,93.1
December,2013,127.9
January,2014,35.5
February,2014,21.9
March,2014,26.9
April,2014,203.9
May,2014,84.9
June,2014,123.5
July,2014,47.9
August,2014,91
September,2014,146.1
October,2014,98.9
November,2014,75.1
December,2014,102.7
January,2015,26.1
February,2015,83.4
March,2015,54.2
April,2015,151.9
May,2015,131.1
June,2015,112.9
July,2015,135.8
August,2015,163.3
September,2015,129.8
October,2015,39.3
November,2015,107.3
December,2015,23.2
January,2016,170
February,2016,139.8
March,2016,101.4
April,2016,49.7
May,2016,138.8
June,2016,150.6
July,2016,125.5
August,2016,108.8
September,2016,108.3
October,2016,84.4
November,2016,118.4
December,2016,51.9
January,2017,34.9
February,2017,167
March,2017,248.5
